,m318,m858,m50,m527,m1198,m904,m260,m750,m912,m2762,m913,m1193,m923,m908,m1221,m593,m1252,m2028,m1136,m2324,m1234,m2858,m2571,m1197,m1233,m1196,m296,m1213,m541,m608,m1225,m969,m1278,m919,m1247,m1208,m2804,m110,m2692,m1617,m3114,m1219,m1304,m1358,m1242,m111,m1288,m1704,m1214,m3147,m1240,m1,m1230,m1089,m1291,m2396,m1200,m2997,m1294,m1036,m2918,m1222,m47,m3578,m1258,m457,m1259,m1090,m1387,m356,m1206,m2959,m150,m1307,m924,m589,m1961,m3421,m1610,m3671,m1210,m1394,m3471,m2194,m920,m1674,m1270,m1079,m2791,m1097,m1265,m1784,m223,m32,m1954,m1220,m2268,m2599,m3481,m590
u1,,,,5.0,,,4.0,,,4.0,,5.0,,,,,,5.0,,,,,,3.0,,,,,,4.0,,,,4.0,,,5.0,,4.0,,4.0,,,,,,,,,,,5.0,,,,,,,,,4.0,,,,,,,,,,,,5.0,,,,5.0,,,,,,,,,,5.0,,4.0,4.0,,,,,,,,,,
u10,4.0,3.0,,4.0,5.0,4.0,5.0,4.0,3.0,5.0,3.0,,3.0,,3.0,,3.0,,4.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,,,5.0,,4.0,3.0,5.0,5.0,3.0,,5.0,4.0,,3.0,4.0,,3.0,,,,,5.0,4.0,,5.0,5.0,4.0,,5.0,5.0,5.0,4.0,4.0,,5.0,,,,,,3.0,,3.0,5.0,,3.0,5.0,5.0,3.0,4.0,5.0,,,4.0,4.0,3.0,5.0,,5.0,,4.0,5.0,4.0,5.0,5.0,5.0,2.0,5.0,3.0,4.0,,5.0,4.0,5.0
u100,4.0,4.0,,5.0,4.0,,4.0,,,,,,,,3.0,4.0,,4.0,,,,,3.0,4.0,,4.0,,4.0,3.0,3.0,,4.0,,5.0,,2.0,,3.0,,,,,3.0,,,,,,,,,,,,4.0,,3.0,,,,,,,,,,,,3.0,,,,,,4.0,,,,,,4.0,,,,,,,,,,,,,,4.0,,,,,
u1000,5.0,5.0,,5.0,5.0,,5.0,,,,,,,,4.0,,,,,,,,5.0,,5.0,3.0,,,,,,,,,,,4.0,5.0,,,5.0,,4.0,,,,,,4.0,,4.0,5.0,,,5.0,,4.0,,,4.0,,3.0,,4.0,,5.0,,,4.0,,,,,,,5.0,,,5.0,,5.0,,,5.0,,,,,,,,,,,4.0,4.0,,,,
u1001,,,,5.0,4.0,,,,,4.0,,,,,,,,4.0,,5.0,,5.0,4.0,,,,,,,3.0,,,,,,,,,4.0,4.0,4.0,,,5.0,,,,5.0,,2.0,,4.0,,,,5.0,,5.0,,,,,,2.0,,3.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,3.0,5.0,4.0,
u1002,,,,,,,,,,3.0,,,,,5.0,,,4.0,,,,5.0,,,,,5.0,5.0,,5.0,5.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,5.0,,5.0,,,,5.0,,,,,,,,,,,5.0,5.0,,,5.0,,,,,,,,,,3.0,5.0,,,,,,,,,,,,4.0
u1003,4.0,5.0,,5.0,5.0,,5.0,,,,,4.0,4.0,,4.0,5.0,,4.0,5.0,,,4.0,,,,5.0,,4.0,3.0,,4.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,5.0,,,,,,,,,,,,,,,,3.0,,,
u1004,,,,,5.0,,5.0,,,,,,,,,,,4.0,5.0,,,5.0,5.0,4.0,,5.0,,,,,,,5.0,4.0,,,3.0,5.0,,,5.0,,3.0,,,4.0,5.0,,2.0,,,5.0,,,5.0,,5.0,3.0,3.0,5.0,4.0,2.0,,,,4.0,,,4.0,4.0,,,,3.0,,5.0,,4.0,5.0,5.0,5.0,3.0,,5.0,,,4.0,4.0,5.0,,4.0,3.0,5.0,,,5.0,,,4.0,4.0
u1005,,5.0,,5.0,4.0,,5.0,,,5.0,5.0,,,,5.0,,5.0,,,,5.0,3.0,,5.0,,,,,,,,2.0,,,,,,,,5.0,5.0,,5.0,,,,,,3.0,,5.0,,,,,4.0,,5.0,,,,4.0,,,,5.0,5.0,,,,,,,,,4.0,,,5.0,,4.0,,,5.0,,,,5.0,,,5.0,,,,5.0,,,1.0,,
u1006,,5.0,,,5.0,,5.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,2.0,,,,,,5.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1007,,,,,5.0,,,,,,,,,,,,,,5.0,,3.0,3.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,4.0,,,,,,,5.0,,5.0,,,,,,,,,,,
u1008,,,,,,,3.0,,,5.0,,,,,,,,,5.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,4.0,,,4.0,,,,,,4.0,5.0,,4.0,,,,,,,,,,,,,4.0,,,,5.0,,5.0,,4.0,,,4.0,,,5.0,5.0,,,,4.0,,,,,,,
u1009,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,4.0,,,,,,,5.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,4.0,,,,,,3.0,,5.0,,
