,m19,m2886,m3214,m1327,m2016,m1331,m3548,m3004,m2299,m3740,m2860,m955,m3361,m3014,m1345,m3858,m3645,m2408,m1173,m3835,m701,m3679,m2575,m1256,m1003,m3859,m453,m746,m1033,m1221,m1941,m2820,m2550,m1152,m247,m2050,m3481,m578,m2767,m2720,m2591,m3426,m1474,m2565,m1836,m2234,m1535,m3703,m3094,m20,m107,m1931,m282,m138,m2296,m3778,m402,m2752,m668,m48,m2347,m3528,m832,m3031,m2825,m2129,m3711,m2358,m3087,m3137,m2192,m2063,m3781,m1600,m3097,m192,m193,m3247,m1494,m1061,m194,m1145,m3033,m1259,m2702,m651,m3066,m2069,m3291,m2807,m205,m2448,m3254,m3887,m86,m3391,m33,m2237,m1379,m2600
u1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u10,,,,,,,,,,,,,,,3.0,,,,,,,,,3.0,,,,,,3.0,,,,,,,4.0,,,,,,,,,,,2.0,,,,,5.0,,,,,,,4.0,,,,,,,,,5.0,,,,,,5.0,,,4.0,,,,,,3.0,,,2.0,,,,,,3.0,,,,,,,
u100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,2.0,,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
u1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
u1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1004,,,,,,,,,,3.0,,,,,,,,,,,,,,5.0,,,,,4.0,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,2.0,,,,,,,,,3.0,,,,,,,,,2.0,,,,,4.0,,,,,,,,,,3.0,,,,,,3.0,
u1005,,,,,,,,,,,,,5.0,,,,,,,,,5.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
u1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
u1007,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1008,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,
u1009,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1010,1.0,1.0,,,,,,,,4.0,,,4.0,,,,,1.0,,2.0,,,,,,,,,3.0,3.0,,,,,4.0,1.0,2.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,2.0,,2.0,,,,,,4.0,,,,,,,,,1.0,,3.0,2.0,,2.0,,,,,,,1.0,,,1.0,,,,,,2.0,
u1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1013,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
