MovieID,Title,Genres
5,Father of the Bride Part II (1995),Comedy
21,Get Shorty (1995),Action|Comedy|Drama
28,Persuasion (1995),Romance
78,"Crossing Guard, The (1995)",Drama
82,Antonia's Line (Antonia) (1995),Drama
134,Sonic Outlaws (1995),Documentary
182,Moonlight and Valentino (1995),Drama|Romance
198,Strange Days (1995),Action|Crime|Sci-Fi
251,"Hunted, The (1995)",Action
252,I.Q. (1994),Comedy|Romance
269,My Crazy Life (Mi vida loca) (1993),Drama
291,Poison Ivy II (1995),Thriller
380,True Lies (1994),Action|Adventure|Comedy|Romance
388,Boys Life (1995),Drama
395,Desert Winds (1995),Drama
418,Being Human (1993),Drama
583,Dear Diary (Caro Diario) (1994),Comedy|Drama
641,"Little Indian, Big City (Un indien dans la ville) (1994)",Comedy
659,Purple Noon (1960),Crime|Thriller
678,Some Folks Call It a Sling Blade (1993),Drama|Thriller
697,Feeling Minnesota (1996),Drama|Romance
707,Mulholland Falls (1996),Crime|Film-Noir|Thriller
772,Quartier Mozart (1992),Comedy
916,Roman Holiday (1953),Comedy|Romance
1014,Pollyanna (1960),Children's|Comedy|Drama
1045,Love Is All There Is (1996),Comedy|Drama
1067,"Damsel in Distress, A (1937)",Comedy|Musical|Romance
1183,"English Patient, The (1996)",Drama|Romance|War
1189,"Thin Blue Line, The (1988)",Documentary
1219,Psycho (1960),Horror|Thriller
1242,Glory (1989),Action|Drama|War
1259,Stand by Me (1986),Adventure|Comedy|Drama
1260,M (1931),Crime|Film-Noir|Thriller
1278,Young Frankenstein (1974),Comedy|Horror
1345,Carrie (1976),Horror
1375,Star Trek III: The Search for Spock (1984),Action|Adventure|Sci-Fi
1513,Romy and Michele's High School Reunion (1997),Comedy
1523,"Truth or Consequences, N.M. (1997)",Action|Crime|Romance
1524,"Turning, The (1992)",Drama
1708,Ill Gotten Gains (1997),Drama
1822,Meet the Deedles (1998),Children's|Comedy
1850,"I Love You, Don't Touch Me! (1998)",Drama|Romance
1893,Beyond Silence (1996),Drama
1894,Six Days Seven Nights (1998),Adventure|Comedy|Romance
1947,West Side Story (1961),Musical|Romance
2046,Flight of the Navigator (1986),Adventure|Children's|Sci-Fi
2060,BASEketball (1998),Comedy
2096,Sleeping Beauty (1959),Animation|Children's|Musical
2111,"Man with Two Brains, The (1983)",Comedy
2112,Grand Canyon (1991),Crime|Drama
2187,Stage Fright (1950),Mystery|Thriller
2211,Secret Agent (1936),Thriller
2220,"Manxman, The (1929)",Drama
2244,"Allnighter, The (1987)",Comedy|Romance
2249,My Blue Heaven (1990),Comedy
2267,Mortal Thoughts (1991),Mystery|Thriller
2307,One Tough Cop (1998),Action|Drama
2355,"Bug's Life, A (1998)",Animation|Children's|Comedy
2358,Savior (1998),Drama
2403,First Blood (1982),Action
2444,24 7: Twenty Four Seven (1997),Comedy|Drama
2455,"Fly, The (1986)",Horror|Sci-Fi
2490,Payback (1999),Action|Thriller
2535,Earthquake (1974),Action
2577,Metroland (1997),Comedy|Drama
2663,It Came from Beneath the Sea (1955),Sci-Fi
2687,Tarzan (1999),Animation|Children's
2701,Wild Wild West (1999),Action|Sci-Fi|Western
2765,"Acid House, The (1998)",Comedy|Drama
2796,Funny Farm (1988),Comedy
2823,"Spiders, The (Die Spinnen, 1. Teil: Der Goldene See) (1919)",Action|Drama
2866,"Buddy Holly Story, The (1978)",Drama
2946,Help! (1965),Comedy|Musical
3030,Yojimbo (1961),Comedy|Drama|Western
3092,Chushingura (1962),Drama
3221,"Draughtsman's Contract, The (1982)",Drama
3231,"Saphead, The (1920)",Comedy
3245,I Am Cuba (Soy Cuba/Ya Kuba) (1964),Drama
3340,Bride of the Monster (1956),Horror|Sci-Fi
3356,Condo Painting (2000),Documentary
3370,Betrayed (1988),Drama|Thriller
3416,"Trial, The (Le Procès) (1963)",Drama
3421,Animal House (1978),Comedy
3422,She's Gotta Have It (1986),Comedy|Romance
3476,Jacob's Ladder (1990),Horror|Mystery|Thriller
3547,Prick Up Your Ears (1987),Drama
3587,Inferno (1980),Horror
3591,Mr. Mom (1983),Comedy|Drama
3686,Flatliners (1990),Thriller
3709,Sleepwalkers (1992),Horror
3757,Asylum (1972),Horror
3776,Melody Time (1948),Animation|Children's|Musical
3806,MacKenna's Gold (1969),Western
3819,Tampopo (1986),Comedy
3834,Bronco Billy (1980),Adventure|Drama|Romance
3853,"Tic Code, The (1998)",Drama
3875,"Devil Rides Out, The (1968)",Horror
3893,Nurse Betty (2000),Comedy|Thriller
3924,Pajama Party (1964),Comedy
3942,Sorority House Massacre II (1990),Horror
