MovieID,Title,Genres
1,Toy Story (1995),Animation|Children's|Comedy
32,Twelve Monkeys (1995),Drama|Sci-Fi
47,Seven (Se7en) (1995),Crime|Thriller
50,"Usual Suspects, The (1995)",Crime|Thriller
110,Braveheart (1995),Action|Drama|War
111,Taxi Driver (1976),Drama|Thriller
150,Apollo 13 (1995),Drama
223,Clerks (1994),Comedy
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi
296,Pulp Fiction (1994),Crime|Drama
318,"Shawshank Redemption, The (1994)",Drama
356,Forrest Gump (1994),Comedy|Romance|War
457,"Fugitive, The (1993)",Action|Thriller
527,Schindler's List (1993),Drama|War
541,Blade Runner (1982),Film-Noir|Sci-Fi
589,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller
590,Dances with Wolves (1990),Adventure|Drama|Western
593,"Silence of the Lambs, The (1991)",Drama|Thriller
608,Fargo (1996),Crime|Drama|Thriller
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War
858,"Godfather, The (1972)",Action|Crime|Drama
904,Rear Window (1954),Mystery|Thriller
908,North by Northwest (1959),Drama|Thriller
912,Casablanca (1942),Drama|Romance|War
913,"Maltese Falcon, The (1941)",Film-Noir|Mystery
919,"Wizard of Oz, The (1939)",Adventure|Children's|Drama|Musical
920,Gone with the Wind (1939),Drama|Romance|War
923,Citizen Kane (1941),Drama
924,2001: A Space Odyssey (1968),Drama|Mystery|Sci-Fi|Thriller
969,"African Queen, The (1951)",Action|Adventure|Romance|War
1036,Die Hard (1988),Action|Thriller
1079,"Fish Called Wanda, A (1988)",Comedy
1089,Reservoir Dogs (1992),Crime|Thriller
1090,Platoon (1986),Drama|War
1097,E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi
1136,Monty Python and the Holy Grail (1974),Comedy
1193,One Flew Over the Cuckoo's Nest (1975),Drama
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War
1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance
1198,Raiders of the Lost Ark (1981),Action|Adventure
1200,Aliens (1986),Action|Sci-Fi|Thriller|War
1206,"Clockwork Orange, A (1971)",Sci-Fi
1208,Apocalypse Now (1979),Drama|War
1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War
1213,GoodFellas (1990),Crime|Drama
1214,Alien (1979),Action|Horror|Sci-Fi|Thriller
1219,Psycho (1960),Horror|Thriller
1220,"Blues Brothers, The (1980)",Action|Comedy|Musical
1221,"Godfather: Part II, The (1974)",Action|Crime|Drama
1222,Full Metal Jacket (1987),Action|Drama|War
1225,Amadeus (1984),Drama
1230,Annie Hall (1977),Comedy|Romance
1233,"Boat, The (Das Boot) (1981)",Action|Drama|War
1234,"Sting, The (1973)",Comedy|Crime
1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller
1242,Glory (1989),Action|Drama|War
1247,"Graduate, The (1967)",Drama|Romance
1252,Chinatown (1974),Film-Noir|Mystery|Thriller
1258,"Shining, The (1980)",Horror
1259,Stand by Me (1986),Adventure|Comedy|Drama
1265,Groundhog Day (1993),Comedy|Romance
1270,Back to the Future (1985),Comedy|Sci-Fi
1278,Young Frankenstein (1974),Comedy|Horror
1288,This Is Spinal Tap (1984),Comedy|Drama|Musical
1291,Indiana Jones and the Last Crusade (1989),Action|Adventure
1294,M*A*S*H (1970),Comedy|War
1304,Butch Cassidy and the Sundance Kid (1969),Action|Comedy|Western
1307,When Harry Met Sally... (1989),Comedy|Romance
1358,Sling Blade (1996),Drama|Thriller
1387,Jaws (1975),Action|Horror
1394,Raising Arizona (1987),Comedy
1610,"Hunt for Red October, The (1990)",Action|Thriller
1617,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
1674,Witness (1985),Drama|Romance|Thriller
1704,Good Will Hunting (1997),Drama
1784,As Good As It Gets (1997),Comedy|Drama
1954,Rocky (1976),Action|Drama
1961,Rain Man (1988),Drama
2028,Saving Private Ryan (1998),Action|Drama|War
2194,"Untouchables, The (1987)",Action|Crime|Drama
2268,"Few Good Men, A (1992)",Crime|Drama
2324,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama
2396,Shakespeare in Love (1998),Comedy|Romance
2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller
2599,Election (1999),Comedy
2692,Run Lola Run (Lola rennt) (1998),Action|Crime|Romance
2762,"Sixth Sense, The (1999)",Thriller
2791,Airplane! (1980),Comedy
2804,"Christmas Story, A (1983)",Comedy|Drama
2858,American Beauty (1999),Comedy|Drama
2918,Ferris Bueller's Day Off (1986),Comedy
2959,Fight Club (1999),Drama
2997,Being John Malkovich (1999),Comedy
3114,Toy Story 2 (1999),Animation|Children's|Comedy
3147,"Green Mile, The (1999)",Drama|Thriller
3421,Animal House (1978),Comedy
3471,Close Encounters of the Third Kind (1977),Drama|Sci-Fi
3481,High Fidelity (2000),Comedy
3578,Gladiator (2000),Action|Drama
3671,Blazing Saddles (1974),Comedy|Western
